city,state,num_golf_courses,avg_rating,sum_ratings_count,avg_length_yards,state_golfable,score,rank
North Hills,California,1,5.0,4,1150.0,0,0.4375128649353322,86
Troutdale,Oregon,1,5.0,4,,0,0.4375128649353322,87
Savanna,Illinois,1,5.0,4,2551.0,0,0.4375128649353322,88
Carp Lake,Michigan,1,5.0,4,6807.0,0,0.4375128649353322,89
Harrison,Idaho,1,5.0,3,7143.0,0,0.4375085766235548,90
Hollidaysburg,Pennsylvania,1,5.0,3,6790.0,0,0.4375085766235548,91
Mill Spring,North Carolina,1,5.0,3,7435.0,0,0.4375085766235548,92
Pleasant Valley,Iowa,1,5.0,3,6468.0,0,0.4375085766235548,93
Croton On Hudson,New York,1,5.0,3,6885.0,0,0.4375085766235548,94
Winter Harbor,Maine,1,5.0,3,3095.0,0,0.4375085766235548,95
Junction City,Oregon,1,5.0,3,7007.0,0,0.4375085766235548,96
Fairfax,California,1,5.0,3,6602.0,0,0.4375085766235548,97
Hampden,Massachusetts,1,5.0,3,6833.0,0,0.4375085766235548,98
Fuquay Varina,North Carolina,1,5.0,3,6466.0,0,0.4375085766235548,99
Marysville,California,1,5.0,3,6817.0,0,0.4375085766235548,100
Springfield,New Jersey,1,5.0,3,7221.0,0,0.4375085766235548,101
Mound,Minnesota,1,5.0,3,6731.0,0,0.4375085766235548,102
Horsham,Pennsylvania,1,5.0,3,7045.0,0,0.4375085766235548,103
Rochester,Vermont,1,5.0,3,2635.0,0,0.4375085766235548,104
West Long Branch,New Jersey,1,5.0,3,,0,0.4375085766235548,105
Lawrence,New York,1,5.0,3,,0,0.4375085766235548,106
Rolla,North Dakota,1,5.0,3,2938.0,0,0.4375085766235548,107
Atlantic Highlands,New Jersey,1,5.0,3,6133.0,0,0.4375085766235548,108
Hulett,Wyoming,1,5.0,3,,0,0.4375085766235548,109
Glencoe,Illinois,1,5.0,3,6517.0,0,0.4375085766235548,110
Edon,Ohio,1,5.0,3,5462.0,0,0.4375085766235548,111
Woods Hole,Massachusetts,1,5.0,3,6137.0,0,0.4375085766235548,112
Enfield,New Hampshire,1,5.0,3,6829.0,0,0.4375085766235548,113
Coal Valley,Illinois,1,5.0,3,6663.0,0,0.4375085766235548,114
Andrews,Texas,1,5.0,3,6064.0,0,0.4375085766235548,115
Union,New Jersey,1,5.0,3,6426.0,0,0.4375085766235548,116
Point Pleasant Beach,New Jersey,1,5.0,3,,0,0.4375085766235548,117
Cumberland,Maryland,1,5.0,3,6207.0,0,0.4375085766235548,118
Central City,Pennsylvania,1,5.0,3,6199.0,0,0.4375085766235548,119
Bloomfield,New Jersey,1,5.0,3,6503.0,0,0.4375085766235548,120
Menomonie,Wisconsin,1,5.0,3,6324.0,0,0.4375085766235548,121
Watchung,New Jersey,1,5.0,3,6640.0,0,0.4375085766235548,122
Bellbrook,Ohio,1,5.0,3,6471.0,0,0.4375085766235548,123
Davidson,North Carolina,1,5.0,3,7208.0,0,0.4375085766235548,124
Meriden,Kansas,1,5.0,3,6392.0,0,0.4375085766235548,125
Piketon,Ohio,1,5.0,3,7073.0,0,0.4375085766235548,126
Kirksville,Missouri,1,5.0,2,6418.0,0,0.43750428831177735,127
Macungie,Pennsylvania,1,5.0,2,6509.0,0,0.43750428831177735,128
Crete,Nebraska,1,5.0,2,2849.0,0,0.43750428831177735,129
Miamitown,Ohio,1,5.0,2,6489.0,0,0.43750428831177735,130
Abingdon,Virginia,1,5.0,2,6887.0,0,0.43750428831177735,131
Commack,New York,1,5.0,2,6427.0,0,0.43750428831177735,132
Livermore,Iowa,1,5.0,2,6421.0,0,0.43750428831177735,133
Loup City,Nebraska,1,5.0,2,2999.0,0,0.43750428831177735,134
Hallock,Minnesota,1,5.0,2,2935.0,0,0.43750428831177735,135
Wolfeboro,New Hampshire,1,5.0,2,6360.0,0,0.43750428831177735,136
Emporium,Pennsylvania,1,5.0,2,6032.0,0,0.43750428831177735,137
Export,Pennsylvania,1,5.0,2,6327.0,0,0.43750428831177735,138
Minster,Ohio,1,5.0,2,6261.0,0,0.43750428831177735,139
Winter Springs,Florida,1,5.0,2,,0,0.43750428831177735,140
Jonesboro,Maine,1,5.0,2,2741.0,0,0.43750428831177735,141
Mingoville,Pennsylvania,1,5.0,2,3007.0,0,0.43750428831177735,142
Yulee,Florida,1,5.0,2,6942.0,0,0.43750428831177735,143
Key Largo,Florida,1,5.0,2,,0,0.43750428831177735,144
Carson,California,1,5.0,2,,0,0.43750428831177735,145
Orinda,California,1,5.0,2,6352.0,0,0.43750428831177735,146
Graniteville,South Carolina,1,5.0,2,7245.0,0,0.43750428831177735,147
Schertz,Texas,1,5.0,2,,0,0.43750428831177735,148
Sayre,Oklahoma,1,5.0,2,3098.0,0,0.43750428831177735,149
Kannapolis,North Carolina,1,5.0,2,6847.0,0,0.43750428831177735,150
Luverne,Alabama,1,5.0,2,0.0,0,0.43750428831177735,151
Tyngsboro,Massachusetts,1,5.0,2,6740.0,0,0.43750428831177735,152
Clintonville,Wisconsin,1,5.0,2,0.0,0,0.43750428831177735,153
Bothell,Washington,1,5.0,2,6349.0,0,0.43750428831177735,154
Goshen,Connecticut,1,5.0,2,6518.0,0,0.43750428831177735,155
Hankinson,North Dakota,1,5.0,2,7000.0,0,0.43750428831177735,156
Killdeer,North Dakota,1,5.0,2,3290.0,0,0.43750428831177735,157
Crescent City,California,1,5.0,2,1259.0,0,0.43750428831177735,158
Sewickley,Pennsylvania,1,5.0,2,6924.0,0,0.43750428831177735,159
Northport,New York,1,5.0,2,2410.0,0,0.43750428831177735,160
Northport,Michigan,1,5.0,2,0.0,0,0.43750428831177735,161
Tupelo,Mississippi,1,5.0,2,3026.0,0,0.43750428831177735,162
Hartington,Nebraska,1,5.0,2,2995.0,0,0.43750428831177735,163
Caldwell,New Jersey,1,5.0,2,,0,0.43750428831177735,164
Cadiz,Ohio,1,5.0,2,6712.0,0,0.43750428831177735,165
Blooming Prairie,Minnesota,1,5.0,2,3026.0,0,0.43750428831177735,166
Kershaw,South Carolina,1,5.0,2,0.0,0,0.43750428831177735,167
Springville,New York,1,5.0,2,6352.0,0,0.43750428831177735,168
New City,New York,1,5.0,2,6709.0,0,0.43750428831177735,169
Vienna,Virginia,1,5.0,2,6734.0,0,0.43750428831177735,170
Madison,New Jersey,1,5.0,2,4406.0,0,0.43750428831177735,171
Pacific Palisades,California,1,5.0,2,6950.0,0,0.43750428831177735,172
Atlantic Beach,Florida,1,5.0,2,7007.0,0,0.43750428831177735,173
Henrico,Virginia,1,5.0,2,6255.0,0,0.43750428831177735,174
Austin,Minnesota,1,5.0,2,6520.0,0,0.43750428831177735,175
Wheatland,Wyoming,1,5.0,2,3064.0,0,0.43750428831177735,176
Westlake,Ohio,1,5.0,2,,0,0.43750428831177735,177
Maplewood,New Jersey,1,5.0,2,6098.0,0,0.43750428831177735,178
Berkshire,New York,1,5.0,2,5567.0,0,0.43750428831177735,179
Dahinda,Illinois,1,5.0,2,6417.0,0,0.43750428831177735,180
Newton Center,Massachusetts,1,5.0,2,6596.0,0,0.43750428831177735,181
Sylva,North Carolina,1,5.0,2,3534.0,0,0.43750428831177735,182
Osprey,Florida,1,5.0,2,6000.0,0,0.43750428831177735,183
Williamsport,Pennsylvania,1,5.0,2,6489.0,0,0.43750428831177735,184
New Hartford,New York,1,5.0,2,6765.0,0,0.43750428831177735,185
Benton,Louisiana,1,5.0,2,6526.0,0,0.43750428831177735,186
Fishers Island,New York,1,5.0,2,6544.0,0,0.43750428831177735,187
Malden,Missouri,1,5.0,2,3270.0,0,0.43750428831177735,188
Bennington,Vermont,1,5.0,2,6264.0,0,0.43750428831177735,189
Mendham,New Jersey,1,5.0,2,6438.0,0,0.43750428831177735,190
Salix,Pennsylvania,1,5.0,2,6989.0,0,0.43750428831177735,191
Laconia,New Hampshire,1,5.0,2,6314.0,0,0.43750428831177735,192
Mendon,New York,1,5.0,2,6633.0,0,0.43750428831177735,193
Osterville,Massachusetts,1,5.0,2,6800.0,0,0.43750428831177735,194
Newport,Rhode Island,1,5.0,2,6735.0,0,0.43750428831177735,195
Havertown,Pennsylvania,1,5.0,2,6385.0,0,0.43750428831177735,196
Sonyea,New York,1,5.0,2,2650.0,0,0.43750428831177735,197
Bellevue,Washington,1,5.0,2,3072.0,0,0.43750428831177735,198
Deer Lodge,Montana,1,5.0,2,7338.0,0,0.43750428831177735,199
